updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-09-02T20:27:20.423202+0000,04201b2aad29d29420bdd820c9fa69fe,684901440,/data_local/images/DTS/2021B-0332/DECam_01028222.fits.fz,/net/archive/mtn/20210902/ct4m/2021B-0332/c4d_210902_201658_fri.fits.fz,49.9999958333333,0.0,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-02,2021-09-02T20:16:58.006018+0000,[5072],Sheppard,2021B-0332,2021-09-02,decam,ct4m,ct,,dome flat,raw,image,,2021-09-02,[None]
2021-09-03T20:04:21.380636+0000,184b69c79dae910cdb587f6caa16d4aa,684806400,/data_local/images/DTS/2019A-0337/DECam_01028419.fits.fz,/net/archive/mtn/20210903/ct4m/2019A-0337/c4d_210903_195809_fri.fits.fz,357.1428,-30.8257380555556,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-03,2021-09-03T19:58:09.488193+0000,[5011],Trilling,2019A-0337,2021-09-03,decam,ct4m,ct,,dome flat,raw,image,,2021-09-03,[None]
2021-09-03T21:00:22.484708+0000,2c88ce00714eec6ab0a0acbb420cbb3b,683896320,/data_local/images/DTS/2019A-0337/DECam_01028445.fits.fz,/net/archive/mtn/20210903/ct4m/2019A-0337/c4d_210903_203740_fri.fits.fz,323.7204,-29.6958319444444,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-03,2021-09-03T20:37:40.962359+0000,[5011],Trilling,2019A-0337,2021-09-03,decam,ct4m,ct,,dome flat,raw,image,,2021-09-03,[None]
2021-09-03T20:48:21.618364+0000,00547feff94162ecdcc7b4ec4c4fa217,684397440,/data_local/images/DTS/2019A-0337/DECam_01028442.fits.fz,/net/archive/mtn/20210903/ct4m/2019A-0337/c4d_210903_203128_fri.fits.fz,323.7204,-29.6958319444444,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-03,2021-09-03T20:31:28.274589+0000,[5011],Trilling,2019A-0337,2021-09-03,decam,ct4m,ct,,dome flat,raw,image,,2021-09-03,[None]
2021-09-04T20:12:20.734047+0000,013220a567aa3280466a836f9bc38b97,684866880,/data_local/images/DTS/2019A-0337/DECam_01028709.fits.fz,/net/archive/mtn/20210904/ct4m/2019A-0337/c4d_210904_200706_fri.fits.fz,357.106291666667,-30.7943411111111,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-04,2021-09-04T20:07:06.324172+0000,[5011],Trilling,2019A-0337,2021-09-04,decam,ct4m,ct,,dome flat,raw,image,,2021-09-04,[None]
2021-09-02T20:32:20.662799+0000,11bf5668004cd7c97197ff54b5c1b9f3,684855360,/data_local/images/DTS/2021B-0332/DECam_01028223.fits.fz,/net/archive/mtn/20210902/ct4m/2021B-0332/c4d_210902_201902_fri.fits.fz,49.9999958333333,0.0,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-02,2021-09-02T20:19:02.197411+0000,[5072],Sheppard,2021B-0332,2021-09-02,decam,ct4m,ct,,dome flat,raw,image,,2021-09-02,[None]
2021-09-02T20:12:18.792973+0000,0ba0465d2e14d51a53e25477e9eae711,685860480,/data_local/images/DTS/2021B-0332/DECam_01028216.fits.fz,/net/archive/mtn/20210902/ct4m/2021B-0332/c4d_210902_200433_fri.fits.fz,49.9999958333333,0.0,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-02,2021-09-02T20:04:33.030485+0000,[5072],Sheppard,2021B-0332,2021-09-02,decam,ct4m,ct,,dome flat,raw,image,,2021-09-02,[None]
2021-09-04T20:18:20.793622+0000,3ba34d5dd5ca37d4678ae09e75b6ffe5,684135360,/data_local/images/DTS/2019A-0337/DECam_01028711.fits.fz,/net/archive/mtn/20210904/ct4m/2019A-0337/c4d_210904_201114_fri.fits.fz,357.106291666667,-30.7943411111111,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-04,2021-09-04T20:11:14.622268+0000,[5011],Trilling,2019A-0337,2021-09-04,decam,ct4m,ct,,dome flat,raw,image,,2021-09-04,[None]
2021-09-02T20:09:20.578359+0000,5300b8795ace329f420e986b1235b188,686289600,/data_local/images/DTS/2021B-0332/DECam_01028215.fits.fz,/net/archive/mtn/20210902/ct4m/2021B-0332/c4d_210902_200228_fri.fits.fz,49.9999958333333,0.0,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-02,2021-09-02T20:02:28.871331+0000,[5072],Sheppard,2021B-0332,2021-09-02,decam,ct4m,ct,,dome flat,raw,image,,2021-09-02,[None]
2021-09-04T20:16:17.561087+0000,148d45296c796c00ce6fa47744f6668e,684285120,/data_local/images/DTS/2019A-0337/DECam_01028710.fits.fz,/net/archive/mtn/20210904/ct4m/2019A-0337/c4d_210904_200910_fri.fits.fz,357.106291666667,-30.7943411111111,N708 DECam c0012 7080.0 400.0,,,100.0,2021-09-04,2021-09-04T20:09:10.464461+0000,[5011],Trilling,2019A-0337,2021-09-04,decam,ct4m,ct,,dome flat,raw,image,,2021-09-04,[None]
