updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-09-11T08:32:17.612880+0000,cecf75a07b8d29c359c4599d379d8bd3,468290880,/data_local/images/DTS/2020B-0288/DECam_01032441.fits.fz,/net/archive/mtn/20210910/ct4m/2020B-0288/c4d_210911_081530_ori.fits.fz,38.1205333333333,-5.55815305555556,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-11,2021-09-11T08:15:30.266511+0000,[14726],Leauthaud,2020B-0288,2021-09-10,decam,ct4m,ct,,object,raw,image,,2021-09-10,[None]
2021-09-14T05:27:29.617904+0000,2eeac9e7f34e59e7b04e223c3c1418be,496100160,/data_local/images/DTS/2020B-0288/DECam_01033040.fits.fz,/net/archive/mtn/20210913/ct4m/2020B-0288/c4d_210914_051336_ori.fits.fz,343.458616666667,4.11639305555556,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-14,2021-09-14T05:13:36.224160+0000,[14726],Leauthaud,2020B-0288,2021-09-13,decam,ct4m,ct,,object,raw,image,,2021-09-13,[None]
2021-09-11T07:44:17.706298+0000,bfeedd65c7297dffe9212c3e32c6fbdf,471432960,/data_local/images/DTS/2020B-0288/DECam_01032436.fits.fz,/net/archive/mtn/20210910/ct4m/2020B-0288/c4d_210911_073027_ori.fits.fz,359.947483333333,1.18329888888889,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-11,2021-09-11T07:30:27.481136+0000,[14726],Leauthaud,2020B-0288,2021-09-10,decam,ct4m,ct,,object,raw,image,,2021-09-10,[None]
2021-09-13T08:12:16.815717+0000,a95b1c8f547fca1b196a5f3afe505bfc,472158720,/data_local/images/DTS/2020B-0288/DECam_01032843.fits.fz,/net/archive/mtn/20210912/ct4m/2020B-0288/c4d_210913_075547_ori.fits.fz,356.2227,1.18073,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-13,2021-09-13T07:55:47.187981+0000,[14726],Leauthaud,2020B-0288,2021-09-12,decam,ct4m,ct,,object,raw,image,,2021-09-12,[None]
2021-09-11T09:12:17.408436+0000,3f08fb4e11a8102c36b2059df93df6ef,467841600,/data_local/images/DTS/2020B-0288/DECam_01032445.fits.fz,/net/archive/mtn/20210910/ct4m/2020B-0288/c4d_210911_085729_ori.fits.fz,37.0595416666667,-5.44416305555556,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-11,2021-09-11T08:57:29.843273+0000,[14726],Leauthaud,2020B-0288,2021-09-10,decam,ct4m,ct,,object,raw,image,,2021-09-10,[None]
2021-09-13T07:08:16.720765+0000,e2922fdc70b8ad9a3d23bd4e6ad48df5,360455040,/data_local/images/DTS/2020B-0288/DECam_01032837.fits.fz,/net/archive/mtn/20210912/ct4m/2020B-0288/c4d_210913_070153_ori.fits.fz,359.066866666667,0.999868055555555,N708 DECam c0012 7080.0 400.0,,,60.0,2021-09-13,2021-09-13T07:01:53.716131+0000,[14726],Leauthaud,2020B-0288,2021-09-12,decam,ct4m,ct,,object,raw,image,,2021-09-12,[None]
2021-09-13T06:44:19.983952+0000,6e8860afecf76d174211c0af39878857,470577600,/data_local/images/DTS/2020B-0288/DECam_01032834.fits.fz,/net/archive/mtn/20210912/ct4m/2020B-0288/c4d_210913_062945_ori.fits.fz,340.843291666667,0.944635,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-13,2021-09-13T06:29:45.524244+0000,[14726],Leauthaud,2020B-0288,2021-09-12,decam,ct4m,ct,,object,raw,image,,2021-09-12,[None]
2021-09-14T06:12:21.193550+0000,d181d64d6890a5b6a666e12847d06b72,481389120,/data_local/images/DTS/2020B-0288/DECam_01033044.fits.fz,/net/archive/mtn/20210913/ct4m/2020B-0288/c4d_210914_055529_ori.fits.fz,340.832491666667,2.62575305555556,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-14,2021-09-14T05:55:29.714412+0000,[14726],Leauthaud,2020B-0288,2021-09-13,decam,ct4m,ct,,object,raw,image,,2021-09-13,[None]
2021-09-14T08:04:18.889755+0000,f013e4553cea026e31aa3ca3bc4bee2e,463881600,/data_local/images/DTS/2020B-0288/DECam_01033056.fits.fz,/net/archive/mtn/20210913/ct4m/2020B-0288/c4d_210914_074654_ori.fits.fz,34.8285166666667,-5.473095,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-14,2021-09-14T07:46:54.451765+0000,[14726],Leauthaud,2020B-0288,2021-09-13,decam,ct4m,ct,,object,raw,image,,2021-09-13,[None]
2021-09-14T08:24:17.267525+0000,6d52950b336600227ed7936bb922050c,464538240,/data_local/images/DTS/2020B-0288/DECam_01033058.fits.fz,/net/archive/mtn/20210913/ct4m/2020B-0288/c4d_210914_080755_ori.fits.fz,32.8827291666667,-5.49347694444444,N708 DECam c0012 7080.0 400.0,,,600.0,2021-09-14,2021-09-14T08:07:55.155435+0000,[14726],Leauthaud,2020B-0288,2021-09-13,decam,ct4m,ct,,object,raw,image,,2021-09-13,[None]
