updated,md5sum,filesize,original_filename,archive_filename,ra,dec,ifilter,seeing,depth,exposure,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,proc_type,prod_type,survey,caldat,collections
2021-09-10T19:08:22.404965+0000,9a702538e2c16729e671804eecd90fdc,288241920,/data_local/images/DTS/2019A-0337/DECam_01032174.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_185626_zri.fits.fz,203.023995833333,20.8879719444444,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T18:56:26.874385+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
2021-09-10T19:04:21.814711+0000,f16d56ffffb90c470b9f13a28f5e864a,288184320,/data_local/images/DTS/2019A-0337/DECam_01032179.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_185827_zri.fits.fz,203.5257,20.8875269444444,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T18:58:27.738940+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
2021-09-11T17:52:30.409983+0000,dea78adf45a17f510219ca2be8c1297e,288751680,/data_local/images/DTS/2019A-0337/DECam_01032457.fits.fz,/net/archive/mtn/20210911/ct4m/2019A-0337/c4d_210911_174357_zri.fits.fz,185.825204166667,20.9012769444444,solid plate 0.0 0.0,,,0.0,2021-09-11,2021-09-11T17:43:57.795906+0000,[5011],Trilling,2019A-0337,2021-09-11,decam,ct4m,ct,,zero,raw,image,,2021-09-11,[None]
2021-09-11T17:52:23.892961+0000,2c0a4501433761b8cf247eb5deab85b0,288878400,/data_local/images/DTS/2019A-0337/DECam_01032454.fits.fz,/net/archive/mtn/20210911/ct4m/2019A-0337/c4d_210911_174248_zri.fits.fz,185.532495833333,20.9013330555556,solid plate 0.0 0.0,,,0.0,2021-09-11,2021-09-11T17:42:48.005230+0000,[5011],Trilling,2019A-0337,2021-09-11,decam,ct4m,ct,,zero,raw,image,,2021-09-11,[None]
2021-09-11T17:52:26.429379+0000,4fe54595de45491d31d6e6df8daf0c9a,288766080,/data_local/images/DTS/2019A-0337/DECam_01032456.fits.fz,/net/archive/mtn/20210911/ct4m/2019A-0337/c4d_210911_174334_zri.fits.fz,185.724825,20.901305,solid plate 0.0 0.0,,,0.0,2021-09-11,2021-09-11T17:43:34.807092+0000,[5011],Trilling,2019A-0337,2021-09-11,decam,ct4m,ct,,zero,raw,image,,2021-09-11,[None]
2021-09-10T21:08:21.469040+0000,8c2e3ec5067a26b2b1235a5a47f27059,287262720,/data_local/images/DTS/2019A-0337/DECam_01032275.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_203302_zri.fits.fz,227.253825,20.8589988888889,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T20:33:02.732090+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
2021-09-10T21:08:26.760809+0000,d772105855707373a4b4cd56268c84c5,287274240,/data_local/images/DTS/2019A-0337/DECam_01032276.fits.fz,/net/archive/mtn/20210910/ct4m/2019A-0337/c4d_210910_203325_zri.fits.fz,227.349991666667,20.85886,solid plate 0.0 0.0,,,0.0,2021-09-10,2021-09-10T20:33:25.961676+0000,[5011],Trilling,2019A-0337,2021-09-10,decam,ct4m,ct,,zero,raw,image,,2021-09-10,[None]
2021-09-12T17:52:24.133959+0000,e6c5b4969b21a235af91832c1373cf5f,288901440,/data_local/images/DTS/2019A-0337/DECam_01032573.fits.fz,/net/archive/mtn/20210912/ct4m/2019A-0337/c4d_210912_174440_zri.fits.fz,186.989370833333,20.9013330555556,solid plate 0.0 0.0,,,0.0,2021-09-12,2021-09-12T17:44:40.452165+0000,[5011],Trilling,2019A-0337,2021-09-12,decam,ct4m,ct,,zero,raw,image,,2021-09-12,[None]
2021-09-12T19:24:21.989495+0000,93ece437c6d2e047e08ad54cea52c939,289549440,/data_local/images/DTS/2019A-0337/DECam_01032670.fits.fz,/net/archive/mtn/20210912/ct4m/2019A-0337/c4d_210912_191929_zri.fits.fz,210.7707,20.8851661111111,solid plate 0.0 0.0,,,0.0,2021-09-12,2021-09-12T19:19:29.251946+0000,[5011],Trilling,2019A-0337,2021-09-12,decam,ct4m,ct,,zero,raw,image,,2021-09-12,[None]
2021-09-12T19:32:25.229362+0000,dcf84bb6ee9b53df9cc54ee6e134b0db,289483200,/data_local/images/DTS/2019A-0337/DECam_01032674.fits.fz,/net/archive/mtn/20210912/ct4m/2019A-0337/c4d_210912_192102_zri.fits.fz,211.163745833333,20.8847488888889,solid plate 0.0 0.0,,,0.0,2021-09-12,2021-09-12T19:21:02.951534+0000,[5011],Trilling,2019A-0337,2021-09-12,decam,ct4m,ct,,zero,raw,image,,2021-09-12,[None]
